cca2	m0	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	m27	m28	m29	m30	m31	m32	m33	m34	m35	m36	m37	m38	m39	m40	m41	m42	m43	m44	m45	m46	m47	m48	m49	m50	m51	m52	m53	m54	m55	m56	m57	m58	m59	m60	m61	m62	m63	m64	m65	m66	m67	m68	m69	m70	m71	m72	m73	m74	m75	m76	m77	m78	m79	m80	m81	m82	m83	m84	m85	m86	m87	m88	m89	m90	m91	m92	m93	m94	m95	m96	m97	m98	m99	m100	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	f100
AF	722.642	699.807	682.002	670.139	656.359	642.560	629.980	616.385	603.088	590.555	577.028	562.661	549.015	533.798	519.681	507.248	491.695	483.147	474.266	464.339	454.595	444.868	431.535	417.648	403.061	386.925	372.406	357.178	341.763	326.597	310.564	293.706	277.032	261.413	248.178	235.735	223.323	212.321	199.974	188.600	180.479	173.792	168.188	163.261	156.415	150.175	144.596	138.341	132.260	126.375	119.910	113.472	107.404	101.040	95.261	89.320	83.481	77.854	72.420	67.444	62.802	58.464	54.459	50.785	47.295	43.978	40.789	37.839	34.917	32.028	29.381	26.710	24.196	21.471	19.810	17.312	16.069	14.357	12.523	10.742	9.085	7.575	6.249	5.095	4.100	3.250	2.504	1.868	1.353	0.963	0.665	0.449	0.295	0.188	0.116	0.069	0.040	0.021	0.011	0.006	0.005	691.469	670.428	653.173	641.695	628.371	614.933	602.587	589.430	576.247	564.153	550.942	536.708	523.147	508.040	494.240	482.077	467.557	459.718	451.574	442.726	433.890	425.397	414.089	402.211	389.468	375.999	363.318	349.737	335.717	321.054	305.560	289.253	273.054	257.878	244.923	232.712	220.616	209.798	197.911	186.826	178.663	171.961	166.387	161.664	155.164	149.362	144.284	138.700	133.359	128.270	122.672	117.193	112.187	106.858	102.172	97.242	92.423	87.785	83.206	78.937	74.784	70.631	66.636	62.846	59.130	55.489	51.921	48.570	45.191	41.796	38.710	35.562	32.620	28.878	27.906	26.182	23.865	21.070	18.225	15.556	13.156	11.049	9.199	7.569	6.183	5.029	3.999	3.060	2.274	1.680	1.211	0.848	0.578	0.383	0.247	0.154	0.094	0.055	0.031	0.017	0.016
AL	14.644	14.718	14.882	14.959	15.240	15.459	16.223	16.907	17.667	18.593	18.675	18.258	17.576	16.761	16.782	16.829	17.033	17.593	18.168	18.587	18.712	19.018	20.301	21.337	21.441	21.768	22.633	23.537	24.005	23.845	23.654	23.832	23.868	23.598	22.965	22.035	21.145	20.335	19.310	18.147	17.068	16.045	15.265	14.711	14.308	14.096	13.984	13.992	14.055	14.218	14.523	14.900	15.406	15.938	16.342	16.491	16.446	16.476	16.701	17.077	17.503	17.847	17.971	17.823	17.382	16.683	16.004	15.378	14.664	13.760	12.718	11.852	11.244	10.739	10.129	9.262	8.311	7.503	6.950	6.640	6.377	6.034	5.550	4.950	4.338	3.752	3.226	2.730	2.246	1.785	1.351	0.999	0.736	0.533	0.380	0.256	0.160	0.095	0.054	0.031	0.039	13.697	13.744	13.853	13.870	14.080	14.244	14.907	15.523	16.174	16.977	17.006	16.581	15.873	15.596	15.471	15.438	15.570	16.048	16.549	17.039	17.294	17.520	18.896	20.282	20.388	20.772	21.972	23.123	23.749	23.882	23.866	23.767	23.312	22.446	21.258	20.045	19.107	18.517	17.993	17.459	16.999	16.514	16.172	16.010	15.951	16.029	16.210	16.443	16.647	16.893	17.229	17.607	18.099	18.604	18.981	18.969	18.750	18.707	18.799	19.098	19.441	19.624	19.610	19.377	18.925	18.194	17.558	16.980	16.206	15.228	14.052	13.061	12.424	11.912	11.284	10.362	9.280	8.292	7.651	7.382	7.259	7.119	6.754	6.097	5.350	4.609	3.931	3.360	2.840	2.341	1.877	1.494	1.164	0.878	0.653	0.462	0.325	0.232	0.154	0.099	0.154
DZ	455.074	466.459	478.466	492.907	504.326	508.884	518.260	516.003	512.548	506.816	486.020	478.350	452.065	439.440	424.199	407.758	384.940	362.989	342.235	323.093	305.798	292.236	291.570	288.629	281.313	278.009	316.444	325.837	334.930	343.562	351.654	359.759	363.767	370.152	375.172	378.993	381.723	383.163	382.975	381.085	377.693	372.405	364.728	354.458	341.634	326.603	311.190	297.534	285.743	275.573	267.043	259.345	251.667	243.822	235.743	227.423	218.778	209.706	200.179	190.138	179.954	169.878	160.368	151.468	143.138	135.359	127.996	120.952	114.222	107.821	101.647	95.014	87.334	78.587	68.870	58.762	49.465	42.051	36.518	32.609	29.913	27.600	25.000	22.101	19.030	15.938	13.024	10.433	8.209	6.356	4.842	3.608	2.608	1.822	1.226	0.790	0.487	0.291	0.169	0.096	0.112	436.310	447.412	458.975	472.954	484.029	488.726	498.073	496.060	492.513	486.522	466.232	458.744	433.462	420.788	405.700	389.818	368.045	347.141	327.336	309.555	293.522	281.251	281.340	279.421	273.372	271.189	294.724	303.983	312.963	321.275	329.380	336.002	341.296	347.984	353.696	358.572	362.249	364.209	364.039	361.638	357.308	351.178	343.253	333.476	321.872	308.697	295.292	283.055	272.484	263.172	255.131	247.759	240.425	232.986	225.398	217.646	209.541	200.901	191.749	181.888	171.740	161.864	152.942	145.098	138.249	132.281	126.648	120.825	114.734	108.383	101.801	94.911	87.641	80.020	72.010	64.034	56.636	50.343	45.150	40.952	37.539	34.449	31.289	28.040	24.770	21.536	18.385	15.381	12.603	10.116	7.945	6.093	4.548	3.294	2.307	1.558	1.015	0.641	0.393	0.235	0.309
AD	0.293	0.296	0.187	0.232	0.259	0.306	0.332	0.365	0.360	0.344	0.357	0.390	0.423	0.436	0.420	0.472	0.427	0.461	0.472	0.454	0.453	0.456	0.466	0.510	0.520	0.514	0.585	0.516	0.545	0.552	0.555	0.608	0.541	0.604	0.600	0.589	0.586	0.568	0.570	0.602	0.654	0.653	0.676	0.617	0.710	0.708	0.743	0.716	0.760	0.763	0.763	0.781	0.719	0.725	0.697	0.736	0.704	0.695	0.711	0.658	0.668	0.616	0.599	0.564	0.544	0.483	0.455	0.456	0.415	0.368	0.367	0.338	0.297	0.294	0.271	0.304	0.265	0.217	0.229	0.224	0.191	0.142	0.128	0.131	0.074	0.082	0.089	0.078	0.059	0.048	0.044	0.041	0.032	0.025	0.020	0.017	0.014	0.009	0.006	0.004	0.005	0.277	0.279	0.145	0.222	0.253	0.259	0.312	0.328	0.346	0.350	0.355	0.385	0.405	0.431	0.436	0.449	0.399	0.387	0.397	0.420	0.430	0.454	0.453	0.437	0.511	0.472	0.463	0.428	0.458	0.456	0.516	0.509	0.547	0.535	0.538	0.571	0.513	0.567	0.551	0.549	0.587	0.671	0.714	0.664	0.683	0.676	0.743	0.714	0.746	0.742	0.726	0.783	0.673	0.648	0.646	0.713	0.659	0.628	0.650	0.597	0.625	0.613	0.537	0.543	0.491	0.474	0.430	0.391	0.392	0.356	0.339	0.316	0.285	0.291	0.286	0.283	0.261	0.216	0.194	0.221	0.201	0.187	0.139	0.174	0.114	0.102	0.130	0.129	0.103	0.081	0.065	0.084	0.058	0.060	0.044	0.036	0.030	0.020	0.014	0.008	0.011
AO	670.459	648.079	632.485	616.031	599.528	584.453	569.650	555.295	541.546	527.611	512.303	495.714	479.108	462.628	446.082	428.151	410.725	393.410	376.383	359.356	343.148	327.775	313.889	300.792	289.600	279.437	271.246	263.936	257.127	250.522	244.097	237.886	232.568	225.975	219.418	212.500	205.334	198.375	190.799	182.944	174.793	167.072	159.749	152.469	145.517	138.823	132.361	126.421	120.542	114.831	109.174	103.775	99.409	95.905	92.234	87.956	83.675	79.890	76.411	72.989	69.533	65.983	62.325	58.358	54.490	50.568	46.587	42.703	38.908	35.252	31.749	28.437	25.326	22.601	19.986	18.231	16.613	14.591	12.561	10.677	8.997	7.539	6.281	5.188	4.253	3.470	2.754	2.127	1.607	1.198	0.875	0.627	0.439	0.300	0.201	0.133	0.086	0.056	0.036	0.024	0.049	658.148	637.726	623.051	607.407	591.732	577.443	563.432	549.807	536.938	523.784	508.926	493.028	476.653	460.370	444.194	426.763	409.742	392.802	376.169	359.789	344.212	329.624	316.277	303.773	292.986	283.252	275.466	268.406	261.803	255.572	249.459	243.566	238.461	232.094	225.677	218.886	211.792	204.864	197.453	189.777	181.837	174.337	167.268	160.248	153.612	147.257	141.119	135.554	130.133	124.937	119.825	114.998	111.224	108.379	105.332	100.869	96.137	91.801	87.750	83.786	79.803	75.761	71.672	67.292	63.165	59.030	54.864	50.773	46.762	42.835	39.020	35.351	31.854	28.819	25.645	24.176	22.661	20.534	18.258	16.035	13.961	12.077	10.371	8.818	7.432	6.172	5.014	3.952	3.048	2.318	1.718	1.246	0.885	0.611	0.412	0.271	0.173	0.108	0.066	0.041	0.065
AG	0.558	0.561	0.563	0.562	0.528	0.494	0.536	0.526	0.565	0.549	0.551	0.593	0.622	0.632	0.705	0.714	0.646	0.634	0.631	0.636	0.647	0.662	0.687	0.744	0.667	0.687	0.738	0.740	0.750	0.717	0.690	0.695	0.670	0.712	0.703	0.680	0.687	0.675	0.660	0.671	0.651	0.630	0.618	0.633	0.607	0.579	0.590	0.608	0.585	0.570	0.571	0.600	0.630	0.621	0.594	0.586	0.598	0.590	0.603	0.585	0.523	0.490	0.471	0.455	0.445	0.433	0.392	0.357	0.333	0.304	0.267	0.271	0.276	0.237	0.200	0.174	0.159	0.148	0.130	0.114	0.100	0.086	0.072	0.064	0.053	0.045	0.040	0.035	0.027	0.022	0.017	0.013	0.009	0.007	0.006	0.004	0.002	0.002	0.001	0.001	0.000	0.541	0.544	0.547	0.546	0.513	0.480	0.520	0.511	0.548	0.533	0.535	0.575	0.604	0.614	0.686	0.694	0.629	0.618	0.615	0.619	0.630	0.645	0.670	0.727	0.654	0.673	0.727	0.746	0.754	0.738	0.724	0.711	0.705	0.768	0.726	0.720	0.737	0.740	0.727	0.709	0.691	0.700	0.666	0.665	0.660	0.655	0.675	0.703	0.693	0.671	0.645	0.690	0.740	0.748	0.744	0.723	0.716	0.712	0.729	0.686	0.653	0.625	0.595	0.596	0.577	0.534	0.490	0.458	0.429	0.401	0.361	0.350	0.345	0.315	0.268	0.247	0.243	0.228	0.218	0.174	0.160	0.149	0.133	0.119	0.104	0.093	0.080	0.074	0.072	0.061	0.047	0.039	0.035	0.032	0.026	0.021	0.016	0.012	0.010	0.007	0.015
AR	256.013	251.747	268.464	270.293	316.775	346.799	362.320	373.516	389.274	393.018	381.717	373.590	384.111	382.528	376.309	376.751	362.665	362.110	360.030	354.946	352.649	353.691	353.590	356.151	357.108	353.292	352.496	355.432	359.263	361.494	358.578	355.056	352.211	348.903	341.768	338.776	332.256	328.728	324.384	323.746	320.709	320.344	320.069	319.423	317.945	314.594	308.384	298.262	287.808	277.733	266.086	255.994	247.306	237.752	230.487	222.931	216.191	210.599	208.470	208.139	205.145	200.970	195.106	190.479	184.839	176.403	172.100	166.099	158.918	151.906	144.984	137.543	129.749	121.822	113.720	107.167	99.293	90.782	82.461	74.335	66.483	59.010	51.960	45.425	39.415	33.930	29.063	24.655	20.587	16.839	13.550	10.721	8.352	6.418	4.875	3.658	2.683	1.918	1.338	0.913	1.596	243.944	239.832	255.664	257.347	301.548	330.003	344.632	354.398	368.892	371.903	360.788	352.656	362.579	361.337	355.722	355.920	342.240	342.340	341.668	338.021	336.477	337.973	338.518	341.165	342.368	339.079	339.074	342.351	346.259	348.589	346.435	343.077	340.397	337.404	330.687	328.109	322.274	319.221	315.672	316.095	314.343	315.166	314.671	313.847	311.770	307.955	302.993	294.227	285.084	277.201	267.629	259.325	252.255	243.570	237.119	229.761	223.443	218.409	216.875	217.468	215.376	212.031	207.456	204.383	200.577	193.917	191.619	187.689	182.557	177.602	172.787	167.178	161.290	154.955	147.300	142.575	135.836	127.680	119.621	111.684	103.741	95.837	87.960	80.227	72.696	65.452	58.647	52.133	45.819	39.667	33.871	28.683	23.960	19.733	15.898	12.564	9.583	7.085	5.096	3.597	6.663
AM	18.516	18.646	17.701	18.299	18.867	19.373	19.760	20.327	20.695	21.106	21.380	21.512	21.455	21.227	20.838	20.305	19.639	19.056	18.650	18.380	18.226	18.179	18.221	18.362	18.564	18.824	19.169	19.659	20.273	21.069	22.179	23.558	24.732	25.268	25.088	24.685	24.031	23.371	22.697	22.088	21.473	20.954	20.495	19.821	18.941	18.047	17.128	16.368	15.667	15.105	14.782	14.627	14.497	14.476	14.397	14.451	14.530	14.887	15.406	16.180	16.640	16.843	17.056	17.002	16.437	15.214	14.188	13.038	11.955	10.935	9.569	9.201	8.337	7.523	6.182	5.261	5.040	4.080	2.720	1.825	1.617	2.212	2.595	2.797	2.451	2.118	1.786	1.424	1.042	0.721	0.552	0.444	0.327	0.231	0.168	0.118	0.078	0.045	0.024	0.012	0.010	17.111	17.193	16.842	17.308	17.747	18.139	18.430	18.873	19.130	19.424	19.590	19.637	19.563	19.483	19.295	19.029	18.683	18.400	18.246	18.194	18.209	18.276	18.394	18.591	18.817	19.097	19.464	20.028	20.808	21.795	23.197	24.876	26.422	27.239	27.249	27.059	26.554	26.125	25.667	25.065	24.491	24.009	23.589	22.979	22.134	21.261	20.363	19.654	18.997	18.420	18.174	18.047	18.048	18.050	18.114	18.344	18.664	19.286	20.125	21.307	22.570	23.512	24.420	24.522	23.838	22.465	20.967	19.779	18.274	16.841	15.383	14.981	13.836	12.544	10.963	9.773	9.424	7.753	5.238	3.597	3.334	4.672	5.713	6.284	5.814	5.273	4.605	3.727	2.733	1.944	1.575	1.320	1.016	0.759	0.575	0.417	0.280	0.171	0.103	0.058	0.055
AU	157.000	157.388	158.387	155.922	156.475	158.488	160.313	164.850	166.729	167.020	168.875	169.368	168.681	169.158	169.695	169.606	169.483	166.301	161.117	158.018	156.278	157.241	164.443	172.839	176.663	179.198	183.678	189.318	193.942	195.498	194.506	193.476	195.409	197.542	196.184	193.595	192.273	192.915	192.538	191.312	189.880	186.814	180.770	173.521	166.630	162.276	159.541	159.766	160.841	162.568	165.213	169.297	172.220	167.271	160.096	155.619	150.694	148.719	148.676	151.006	152.863	152.075	149.509	144.785	140.103	137.073	133.561	130.836	126.844	121.882	118.765	115.750	112.299	109.473	105.853	103.452	103.428	94.525	81.807	75.358	67.265	60.880	55.689	49.884	44.762	39.480	34.736	30.130	25.351	21.125	17.609	14.492	11.865	9.480	7.181	5.236	3.701	2.543	1.649	1.018	1.277	148.749	149.031	149.990	147.915	147.822	149.464	151.469	155.779	157.371	157.637	159.461	160.189	160.003	160.501	160.694	160.359	159.989	156.814	151.992	148.942	148.488	149.872	155.165	162.038	166.259	169.471	174.844	180.558	185.762	190.004	192.290	194.479	198.397	200.707	199.618	197.698	196.305	195.865	195.329	193.988	191.643	188.229	182.927	176.991	171.022	167.188	163.963	162.720	162.986	165.461	168.940	174.087	178.405	173.291	165.931	161.411	155.990	153.996	154.499	157.603	160.238	159.972	158.462	155.403	151.146	148.208	144.707	141.001	137.048	133.098	129.384	125.540	121.931	119.197	115.236	112.093	111.975	102.656	89.669	83.808	75.956	69.382	64.266	59.352	55.135	50.496	45.898	41.461	36.731	32.068	28.149	24.391	20.966	17.658	14.095	10.946	8.331	6.206	4.419	2.932	4.511
AT	39.479	42.797	44.864	44.127	44.069	45.695	47.155	47.247	46.023	45.688	44.458	44.785	44.439	44.693	43.507	44.773	43.840	44.730	45.151	46.254	45.682	47.026	46.770	49.897	51.223	54.014	56.019	59.050	59.225	61.741	63.371	64.938	65.677	65.123	64.335	64.934	63.482	63.136	63.407	62.980	62.849	63.810	63.458	62.346	58.784	57.509	56.783	57.038	58.856	59.614	59.288	62.665	64.771	66.384	70.255	72.419	72.034	71.724	71.763	71.588	70.251	68.522	65.800	62.387	59.397	55.687	53.816	51.269	47.218	43.735	41.446	40.164	37.362	37.456	36.752	36.493	35.941	29.275	23.045	28.323	27.040	26.155	28.433	28.427	25.182	15.703	12.731	10.724	8.977	7.573	6.543	5.452	4.276	3.422	2.409	1.708	1.148	0.747	0.466	0.271	0.339	37.438	40.596	42.564	41.896	41.939	43.502	44.240	44.728	43.210	42.863	41.918	41.962	41.558	42.362	41.490	41.868	41.847	42.940	43.198	43.802	43.328	44.709	44.170	47.024	48.227	50.749	53.484	56.275	56.840	58.834	60.657	61.608	62.711	62.503	62.639	62.198	61.526	61.553	61.187	62.015	61.772	63.608	63.046	60.775	57.657	56.853	56.746	57.051	59.373	60.893	61.066	64.221	65.951	67.284	71.053	72.230	71.728	71.703	71.846	72.249	71.628	69.258	67.264	64.394	61.896	59.224	57.603	56.704	52.251	49.355	47.512	46.208	43.818	44.193	44.045	44.842	44.492	36.482	30.082	37.869	36.628	35.681	39.766	40.686	37.099	24.117	20.037	18.270	16.416	14.674	13.137	11.588	9.731	8.149	6.346	4.837	3.547	2.725	1.947	1.294	1.890
